x,y
1.068115421,0.654143301
6.157628835,5.874488142
0.352853257,0.30073734
0.77169966,0.18988178
3.100059888,3.128548872
0.743987321,0.876960765
2.784860192,2.840077385
0.284549682,0.881733946
5.613271941,6.133007973
6.778172318,6.327614697
6.086586401,6.079904285
0.743219989,1.381427241
1.102617569,0.920430153
2.519369459,3.806876429
6.061366486,5.171616235
2.756438917,3.147637934
3.238764981,2.865280307
6.328043399,6.057151167
3.523784361,3.464210751
1.198994222,0.781147365
1.440827923,1.229643662
6.238639834,5.967674438
0.836661802,0.840212461
0.089924654,0.413101522
1.199065356,1.055570578
1.1651902,1.298601466
6.408048266,5.645816217
3.406718595,2.901712622
0.892247224,1.156232829
1.955167369,0.172653024
2.800190815,3.171688586
2.69320003,3.185258897
1.116220236,1.413154107
0.638076916,1.429939403
5.687718598,5.905856956
3.010381846,4.026834756
2.075344037,0.382484116
3.061408344,2.44626768
3.255322562,2.698751206
6.151623652,6.510450123
2.860118441,2.724468505
5.944466566,6.5141943
2.83078282,2.867371527
2.455923664,2.99654017
1.497004906,1.056351733
6.389266975,6.116551136
2.785670003,2.358641028
6.143935214,5.962434773
5.430363725,6.204129106
5.953989149,5.984749181
2.812340876,2.443719148
0.699428389,2.367316675
2.617528252,3.038498614
5.242662139,5.308603413
1.184946209,1.211660299
0.443856859,1.158188733
6.39213438,6.294722208
2.305317867,2.551616417
5.763648537,5.856283028
6.0540706,6.579683286
5.957684262,6.072856447
0.896130425,1.12423134
1.610243692,0.659410197
3.573872545,3.287583263
6.220683337,5.497940875
2.364283137,2.557903317
3.670262787,3.088701892
3.225261815,3.384235401
2.143001377,3.083310892
6.5864526,6.334416476
0.916560562,1.32853338
2.908767391,2.517189452
2.576416797,3.158009048
6.331377018,6.252582974
0.883675984,0.447144112
3.027547848,3.237075018
1.251882273,1.404661255
2.818297123,2.569965475
2.97075337,3.164664204
0.99292794,0.303052192
2.932804142,4.053493902
3.253883095,3.532586911
1.454616485,0.99494663
0.795467231,0.763796265
0.78824854,0.816634197
0.295586154,0.452486826
3.199680366,2.689571137
6.276991767,5.880290468
3.060634785,2.775391316
3.384644262,2.622292797
5.479801696,5.663517224
0.284276782,1.462848335
6.168643391,6.307221957
0.553558136,-0.050509482
5.491319677,6.11665958
6.301388588,5.372464268
1.512058569,1.282384562
6.020984073,6.334989212
0.671491053,0.808126892
5.834999619,6.342079522
0.245210457,1.471654459
5.868075403,5.483193205
2.158756934,2.643046047
5.984693372,5.629417765
1.373423622,0.254517362
3.195834693,3.381950999
1.089360241,1.013529204
6.607982222,5.846472758
3.347242185,3.287232791
6.53544083,5.426330156
5.945013517,5.533525573
3.6758149,3.136743208
3.057432108,2.643359817
2.361146146,3.742876469
6.590674429,5.926075811
1.27877733,1.468855339
0.009990464,1.418328072
6.457703402,5.690755938
6.416296352,6.302214409
6.17391325,6.254947698
5.530992359,5.974670896
0.948098946,1.215785741
6.127956276,5.438815198
0.831812806,1.025777202
2.227099141,3.001564974
3.10299811,3.04963502
0.201982213,1.172589569
2.954322851,3.22221124
5.488694156,6.837805803
5.805773315,6.324697495
6.381507247,5.694536653
2.948912384,2.929554932
2.792368783,2.897508935
3.062910079,3.885122802
5.839738043,5.990086636
0.887400755,1.694512482
1.425564812,1.237204026
2.196230781,3.212068416
5.924862762,5.536471981
5.71756874,5.482197567
0.991847009,1.185798685
0.969917616,0.871908423
1.022893543,1.50225232
1.361064283,0.863456887
3.227109874,3.076283022
6.370191202,6.500900541
1.47707144,0.815091978
0.482413721,0.942175656
1.313749186,0.33875375
6.404898323,5.907790773
0.999831987,1.438073024
2.847776386,3.088522115
0.298029795,0.942895011
5.933513027,5.716560986
0.753400562,1.667887665
0.907987775,0.737598571
2.920494142,3.030294625
6.628639767,5.719631407
4.013782181,2.799425002
2.455463677,2.988363472
5.685121544,6.031387368
5.213494327,5.486083665
0.048013385,0.058292117
5.719694669,6.320132673
3.548811054,3.15002304
2.44651101,3.154304076
6.525019619,6.22729913
6.175289633,6.893572218
3.285351101,3.13451765
2.828445032,2.770942719
5.656061778,5.974141582
3.107752579,3.050700113
2.602666153,2.341623005
1.695692425,1.48111919
6.109750393,5.964029355
6.067623056,6.432655219
0.588734853,1.452754406
3.261221744,2.465323738
5.512759685,6.613754709
3.215649507,2.928501916
1.187435335,0.807772824
0.723796488,1.222191332
6.134568103,6.211951597
5.882625436,6.333626129
3.12595514,3.208840515
1.832950532,0.503866893
5.674771022,6.068095599
3.96067948,3.040921092
2.492764116,2.707344098
3.10957538,2.301677731
0.682831832,0.140843092
0.668765574,0.548279169
3.205570028,2.781141018
0.908996364,1.03404937
3.45988378,2.523459771
6.407623161,6.053481258
2.78276896,2.958422688
6.208045105,6.115960836
1.51051138,1.410441289
5.95775552,5.799094123
